Nanoparticle,Size (nm),Shape,Bacterium,Gram +/-,MIC (μg/mL),Synthesis Method,Reagent Used,Year of study,Link
AgNP,26,Spherical,Escherichia coli ATCC 25922,-,5,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Aggregatibacter actinomycetemcomitans ATCC 33384,-,2,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,26,Spherical,Pseudomonas aeruginosa ATCC 27853,-,2,Green synthesis,Soluble starch and D-glucose,2020,https://doi.org/10.3389/fmicb.2020.01074
AgNP,30-42,Irregular,Escherichia coli ATCC 25922,-,310,"Unspecified, purchased from US Research Nanomaterials, Inc. (Houston, TX, USA)",Unspecified,2018,https://doi.org/10.1590/S1678-9946201860018
AgNP,5-33,Nanocube,Escherichia coli ATCC 35218,-,400,Chemical reduction,1% trisodium citrate,2020,https://doi.org/10.1038/s41598-020-68290-x
AgNP,5-33,Nanocube,Klebsiella pneumoniae ATCC 700603,-,300±141.43,Chemical reduction,1% trisodium citrate,2020,https://doi.org/10.1038/s41598-020-68290-x
AgNP,5-33,Nanocube,Methicillin-resistant Staphylococcus aureus (MRSA) ATCC 25923,+,300±141.43,Chemical reduction,1% trisodium citrate,2020,https://doi.org/10.1038/s41598-020-68290-x
AgNP,2-10,Spherical,Pseudomonas aeruginosa,-,0.59,Green synthesis,Allophylus cobbe leaf extract,2014,https://doi.org/10.1186/1556-276X-9-373
AgNP,2-10,Spherical,Shigella flexneri,-,0.6,Green synthesis,Allophylus cobbe leaf extract,2014,https://doi.org/10.1186/1556-276X-9-373
AgNP,2-10,Spherical,Staphylococcus aureus,+,0.75,Green synthesis,Allophylus cobbe leaf extract,2014,https://doi.org/10.1186/1556-276X-9-373
AgNP,2-10,Spherical,Streptococcus pneumoniae,+,0.76,Green synthesis,Allophylus cobbe leaf extract,2014,https://doi.org/10.1186/1556-276X-9-373
AgNP,30-50,Spherical,Bacillus sp,+,30,Green synthesis,Isolate MGL-D10,2019,https://doi.org/10.1016/j.bcab.2019.101037
AgNP,30-50,Spherical,Staphylococcus aureus,+,30,Green synthesis,Isolate MGL-D10,2019,https://doi.org/10.1016/j.bcab.2019.101037
AgNP,30-50,Spherical,Escherichia coli,-,40,Green synthesis,Isolate MGL-D10,2019,https://doi.org/10.1016/j.bcab.2019.101037
AgNP,30-50,Spherical,Klebsiella pneumoniae,-,40,Green synthesis,Isolate MGL-D10,2019,https://doi.org/10.1016/j.bcab.2019.101037
AgNP,30-50,Spherical,Pseudomonas aeruginosa,-,40,Green synthesis,Isolate MGL-D10,2019,https://doi.org/10.1016/j.bcab.2019.101037
AgNP,7-20,Spherical,Pseudomonas aeruginosa ATCC 9027,-,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Salmonella abony NCTC 6017,-,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Salmonella typhimurium ATCC 23564,-,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Klebsiella aerogenes ATCC 1950,-,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Proteus vulgaris NCIB 4157,-,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Bacillus subtilis ATCC 6633,+,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Staphylococcus aureus ATCC 6538,+,12.5,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Staphylococcus epidermidis ATCC 12228,+,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,7-20,Spherical,Escherichia coli ATCC 117,-,6.25,Photo-assisted reduction and biostabilization (US Patent No. 7514600),Unspecified,2009,https://doi.org/10.1021/mp900056g
AgNP,26,Spherical,Enterococcus faecalis CCM 4224,+,6.75,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Staphylococcus aureus CCM 3953,+,3.38,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Escherichia coli CCM 3954,-,1.69,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Pseudomonas aeruginosa CCM 3955,-,3.38,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Staphylococcus epidermidis,+,1.69,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Methicillin-resistant Staphylococcus epidermidis (MRSE),+,1.69,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,3.38,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Vancomycin-resistant Enterococcus (VRE),+,6.75,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,26,Spherical,Klebsiella pneumoniae ESBL (Extended Spectrum Beta-Lactamase),-,6.75,Chemical reduction,"25% ammonia, sodium hydroxide, D(+)-maltose monohydrate",2008,https://doi.org/10.1021/jp711616v
AgNP,8.45±0.05,Spherical,Staphylococcus aureus,+,398,Chemical reduction,diphenyl ether and oleylamine 12mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.45±0.05,Spherical,Bacillus megaterium,+,199,Chemical reduction,diphenyl ether and oleylamine 12mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.45±0.05,Spherical,Proteus vulgaris,-,199,Chemical reduction,diphenyl ether and oleylamine 12mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.45±0.05,Spherical,Shigella sonnei,-,199,Chemical reduction,diphenyl ether and oleylamine 12mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.07±0.02,Spherical,Staphylococcus aureus,+,150,Chemical reduction,diphenyl ether and oleylamine 15mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.07±0.02,Spherical,Bacillus megaterium,+,75,Chemical reduction,diphenyl ether and oleylamine 15mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.07±0.02,Spherical,Proteus vulgaris,-,100,Chemical reduction,diphenyl ether and oleylamine 15mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,8.07±0.02,Spherical,Shigella sonnei,-,100,Chemical reduction,diphenyl ether and oleylamine 15mM,2013,https://doi.org/10.1002/jbm.a.35005
AgNP,90,Spherical,Staphylococcus aureus,+,65,Green synthesis,Cannabis sativa root extract (pH 7),2022,https://doi.org/10.1080/21691401.2022.2149543
AgNP,90,Spherical,Escherichia coli,-,70,Green synthesis,Cannabis sativa root extract (pH 7),2022,https://doi.org/10.1080/21691401.2022.2149543
AgNP,90,Spherical,Pseudomonas aeruginosa,-,75,Green synthesis,Cannabis sativa root extract (pH 7),2022,https://doi.org/10.1080/21691401.2022.2149543
AgNP,90,Spherical,Klebsiella pneumoniae,-,60,Green synthesis,Cannabis sativa root extract (pH 7),2022,https://doi.org/10.1080/21691401.2022.2149543
AgNP,20.34±1.69,Spherical,Staphylococcus aureus ATCC 25923,+,128,Green synthesis,Carya illinoinensis leaf extract,2020,https://doi.org/10.1016/j.heliyon.2020.e03624
AgNP,20.34±1.69,Spherical,Listeria monocytogenes ATCC 7644,+,64,Green synthesis,Carya illinoinensis leaf extract,2020,https://doi.org/10.1016/j.heliyon.2020.e03624
AgNP,20.34±1.69,Spherical,Escherichia coli ATCC 25922,-,16,Green synthesis,Carya illinoinensis leaf extract,2020,https://doi.org/10.1016/j.heliyon.2020.e03624
AgNP,20.34±1.69,Spherical,Pseudomonas aeruginosa ATCC 27853,-,32,Green synthesis,Carya illinoinensis leaf extract,2020,https://doi.org/10.1016/j.heliyon.2020.e03624
AgNP,20–35,Spherical,Escherichia coli,-,125,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,20–35,Spherical,Klebsiella pneumoniae,-,35,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,20–35,Spherical,Proteus mirabilis,-,16,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,20–35,Spherical,Pseudomonas aeruginosa,-,65,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,20–35,Spherical,Salmonella typhi,-,125,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,20–35,Spherical,Staphylococcus aureus,+,125,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,20–35,Spherical,Streptococcus pneumoniae,+,125,Green synthesis,Proteus mirabilis,2016,https://sphinxsai.com/2016/ph_vol9_no4/2/(368-376)V9N4PT.pdf
AgNP,4.5±3.1,Spherical,Staphylococcus aureus 25923,+,10,Green synthesis,Rhamnogalacturonan gum,2014,https://doi.org/10.1016/j.arabjc.2014.10.036
AgNP,4.5±3.1,Spherical,Pseudomonas aeruginosa 27853,-,5,Green synthesis,Rhamnogalacturonan gum,2014,https://doi.org/10.1016/j.arabjc.2014.10.036 
AgNP,4.5±3.1,Spherical,Escherichia coli 25922,-,2,Green synthesis,Rhamnogalacturonan gum,2014,https://doi.org/10.1016/j.arabjc.2014.10.036 
AgNP,4.5±3.1,Spherical,Escherichia coli 35218,-,2,Green synthesis,Rhamnogalacturonan gum,2014,https://doi.org/10.1016/j.arabjc.2014.10.036 
AgNP,37.5,Spherical,Escherichia coli,-,50± 5,Green synthesis,Aqueous extract of Punica granatum leaves,2021,https://doi.org/10.3390/molecules26195762 
AgNP,37.5,Spherical,Pseudomonas aeruginosa,-,50± 2,Green synthesis,Aqueous extract of Punica granatum leaves,2021,https://doi.org/10.3390/molecules26195762 
AgNP,37.5,Spherical,Proteus vulgaris,-,75± 2,Green synthesis,Aqueous extract of Punica granatum leaves,2021,https://doi.org/10.3390/molecules26195762 
AgNP,37.5,Spherical,Bacillus subtilis,+,100,Green synthesis,Aqueous extract of Punica granatum leaves,2021,https://doi.org/10.3390/molecules26195762 
AgNP,37.5,Spherical,Staphylococcus aureus,+,125,Green synthesis,Aqueous extract of Punica granatum leaves,2021,https://doi.org/10.3390/molecules26195762 
AgNP,1.9-4.3,Spherical,Pseudomonas aeruginosa-620,-,27,Microwave-accelerated green synthesis,Eucalyptus globulus leaf extract,2015,https://doi.org/10.1371/journal.pone.0131178
AgNP,1.9-4.3,Spherical,Escherichia coli-157,-,36,Microwave-accelerated green synthesis,Eucalyptus globulus leaf extract,2015,https://doi.org/10.1371/journal.pone.0131178
AgNP,1.9-4.3,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,27,Microwave-accelerated green synthesis,Eucalyptus globulus leaf extract,2015,https://doi.org/10.1371/journal.pone.0131178
AgNP,1.9-4.3,Spherical,Methicillin-resistant Staphylococcus epidermidis (MRSE),+,30,Microwave-accelerated green synthesis,Eucalyptus globulus leaf extract,2015,https://doi.org/10.1371/journal.pone.0131178
AgNP,29±5,Spherical,Ralstonia solanacearum NAIMCC-B-01626,-,200,Green synthesis,Azadirachta indica leaf extract,2019,https://doi.org/10.1007/s12088-019-00801-5 
AgNP,36.16±0.72,Spherical,Escherichia coli O157:H7,-,0.25,Chemical reduction,"0.01 M cysteine, 0.01 M CTAB, PVA, pH 7, 200 rpm for 1 hour",2014,https://pubmed.ncbi.nlm.nih.gov/24729707
AgNP,113.37±4.65,Spherical,Escherichia coli O157:H7,-,10,Chemical reduction,"0.01 M cysteine, 0.01 M CTAB, PVA, pH 7, 800 rpm for 4 hours",2014,https://pubmed.ncbi.nlm.nih.gov/24729707
AgNP,78.50±1.42,Spherical,Escherichia coli O157:H7,-,10,Chemical reduction,"0.01 M cysteine, 0.01 M CTAB, PVA, pH 7, 1-hour ultrasonic stabilization",2014,https://pubmed.ncbi.nlm.nih.gov/24729707
AgNP,36.16±0.72,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,0.25,Chemical reduction,"0.01 M cysteine, 0.01 M CTAB, PVA, pH 7, 200 rpm for 1 hour",2014,https://pubmed.ncbi.nlm.nih.gov/24729707
AgNP,113.37±4.65,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,0.5,Chemical reduction,"0.01 M cysteine, 0.01 M CTAB, PVA, pH 7, 800 rpm for 4 hours",2014,https://pubmed.ncbi.nlm.nih.gov/24729707
AgNP,78.50±1.42,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,0.25,Chemical reduction,"0.01 M cysteine, 0.01 M CTAB, PVA, pH 7, 1-hour ultrasonic stabilization",2014,https://pubmed.ncbi.nlm.nih.gov/24729707
AgNP,44,Cubic,Staphylococcus aureus CCM 3953,+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Escherichia coli CCM 3954,-,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Pseudomonas aeruginosa CCM 3955,-,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Pseudomonas aeruginosa,-,13.5,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Staphylococcus epidermidis,+,13.5,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Methicillin-resistant Staphylococcus epidermidis (MRSE),+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Methicillin-resistant Staphylococcus aureus (MRSA),+,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,44,Cubic,Klebsiella pneumoniae (ESBL-positive),-,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D-glucose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,50,Cubic,Staphylococcus aureus CCM 3953,+,54,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-galactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,50,Cubic,Pseudomonas aeruginosa,-,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-galactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,50,Cubic,Staphylococcus epidermidis,+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-galactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,50,Cubic,Methicillin-resistant Staphylococcus epidermidis (MRSE),+,54,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-galactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,50,Cubic,Methicillin-resistant Staphylococcus aureus (MRSA),+,54,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-galactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Enterococcus faecalis CCM 4224,+,13.5,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Staphylococcus aureus CCM 3953,+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Escherichia coli CCM 3954,-,3.38,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Pseudomonas aeruginosa CCM 3955,-,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Pseudomonas aeruginosa,-,3.38,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Staphylococcus epidermidis,+,1.69,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Methicillin-resistant Staphylococcus epidermidis (MRSE),+,1.69,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Methicillin-resistant Staphylococcus aureus (MRSA),+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,"Enterococcus faecium (Vancomycin-resistant Enterococcus, VRE)",+,13.5,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,25,Cubic,Klebsiella pneumoniae (ESBL-positive),-,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-maltose monohydrate (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Enterococcus faecalis CCM 4224,+,54,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Staphylococcus aureus CCM 3953,+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Escherichia coli CCM 3954,-,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Pseudomonas aeruginosa CCM 3955,-,13.5,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Pseudomonas aeruginosa,-,13.5,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Staphylococcus epidermidis,+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Methicillin-resistant Staphylococcus epidermidis (MRSE),+,6.75,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Methicillin-resistant Staphylococcus aureus (MRSA),+,27,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,"Enterococcus faecium (Vancomycin-resistant Enterococcus, VRE)",+,54,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,35,Cubic,Klebsiella pneumoniae (ESBL-positive),-,54,Chemical reduction,"0.005 mol/L ammonia, NaOH, D(+)-lactose (pH 11.5)",2006,https://doi.org/10.1021/jp063826h 
AgNP,2.2,Spherical,Escherichia coli XL1Blue,-,8.4,Physical method,Synthesized by picosecond laser ablation in pure water,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,2.2,Spherical,Bacillus subtilis 168,+,1.7,Physical method,Synthesized by picosecond laser ablation in pure water,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,2.2,Spherical,Escherichia coli XL1Blue,-,9.2,Physical method,Synthesized by nanosecond laser ablation in pure water,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,2.2,Spherical,Bacillus subtilis 168,+,9.2,Physical method,Synthesized by nanosecond laser ablation in pure water,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,3.3,Spherical,Escherichia coli XL1Blue,-,9.2,Physical method,Synthesized by picosecond laser ablation in aqueous LiCl solution,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,3.3,Spherical,Bacillus subtilis 168,+,1,Physical method,Synthesized by picosecond laser ablation in aqueous LiCl solution,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,6.1,Spherical,Escherichia coli XL1Blue,-,3.7,Physical method,Synthesized by nanosecond laser ablation in aqueous LiCl solution,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,6.1,Spherical,Bacillus subtilis 168,+,1.5,Physical method,Synthesized by nanosecond laser ablation in aqueous LiCl solution,2016,https://doi.org/10.3762/bjnano.7.40 
AgNP,20-40,Spherical,Pseudomonas aeruginosa PA01,-,6.25,Green synthesis,Cannabis sativa ,2018,https://doi.org/10.2147/IJN.S157958 
AgNP,20-40,Spherical,Escherichia coli UTI89,-,12.5,Green synthesis,Cannabis sativa ,2018,https://doi.org/10.2147/IJN.S157958 
AgNP,8-20,Spherical,Staphylococcus aureus,+,12.5,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8-20,Spherical,Escherichia coli,-,3.125,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8-20,Spherical,Enterococcus faecalis,+,3.125,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8-20,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,3.125,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8-20,Spherical,Bacillus subtilis,+,6.25,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8-20,Spherical,Klebsiella pneumoniae,-,6.25,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8-20,Spherical,Pseudomonas aeruginosa,-,6.25,Green synthesis,Bacillus spp.,2015,https://doi.org/10.1016/j.micres.2015.09.009 
AgNP,8.5-26.44,Spherical,Streptococcus mutans,+,1200,Green synthesis,Cyanobacteria Nostoc sp.,2020,https://doi.org/10.2147/IJN.S289243 
AgNP,8.5-26.44,Spherical,Methicillin-resistant Staphylococcus aureus (MRSA),+,900,Green synthesis,Cyanobacteria Nostoc sp.,2020,https://doi.org/10.2147/IJN.S289243 
AgNP,8.5-26.44,Spherical,Escherichia coli ATCC 25922,-,900,Green synthesis,Cyanobacteria Nostoc sp.,2020,https://doi.org/10.2147/IJN.S289243 
AgNP,8.5-26.44,Spherical,Salmonella typhimurium ATCC 14028,-,900,Green synthesis,Cyanobacteria Nostoc sp.,2020,https://doi.org/10.2147/IJN.S289243 
AgNP,25-45,Spherical,Staphylococcus aureus ATCC 29213,+,0.11,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Enterococcus faecalis ATCC 29212,+,0.11,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Pseudomonas aeruginosa ATCC 27853,-,0.11,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Acinetobacter baumannii ATCC 19606,-,0.11,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Escherichia coli ATCC 25922,-,0.11,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Klebsiella pneumoniae ATCC 700603,-,7.1,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Proteus mirabilis ATCC 25933,-,0.89,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Staphylococcus aureus multiresistant,+,7.1,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Enterococcus faecalis multiresistant,+,1.7,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Pseudomonas aeruginosa multiresistant,-,1.7,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Acinetobacter baumannii multiresistant,-,0.89,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,25-45,Spherical,Escherichia coli multiresistant,-,0.89,Green synthesis,Crataegus pentagyna fruit extract,2020,https://doi.org/10.1016/j.bioorg.2019.103425 
AgNP,40-50,Spherical,Staphylococcus aureus ATCC 25923,+,190,Chemical reduction,1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,40-50,Spherical,Bacillus subtilis AST5-2,+,195,Chemical reduction,1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,40-50,Spherical,Pseudomonas aeruginosa AL2-14B,-,188,Chemical reduction,1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,40-50,Spherical,Klebsiella pneumoniae AWD5,-,184,Chemical reduction,1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,40-50,Spherical,Escherichia coli ATCC 25922,-,190,Chemical reduction,1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,90 longitud         20 ancho,Rod,Staphylococcus aureus ATCC 25923,+,358,Chemical reduction,NaOH and 1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,90 longitud         20 ancho,Rod,Bacillus subtilis AST5-2,+,350,Chemical reduction,NaOH and 1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
AgNP,90 longitud         20 ancho,Rod,Pseudomonas aeruginosa AL2-14B,-,348,Chemical reduction,NaOH and 1% trisodium citrate,2018,https://pubmed.ncbi.nlm.nih.gov/29317760
